step,ux,uy
1,0.05,0
2,0.05,0
3,0.05,0
4,0.05,0
5,0.05,0
6,0.05,0
7,0.05,0
8,0.05,0
9,0.05,0
10,0.05,0
11,0.05,0
12,0.05,0
13,0.05,0
14,0.05,0
15,0.05,0
16,0.05,0
17,0.05,0
18,0.05,0
19,0.05,0
20,0.05,0
21,0.05,0
22,0.05,0
23,0.05,0
24,0.05,0
25,0.05,0
26,0.05,0
27,0.05,0
28,0.05,0
29,0.05,0
30,0.05,0
31,0.05,0
32,0.05,0
33,0.05,0
34,0.05,0
35,0.05,0
36,0.05,0
37,0.05,0
38,0.05,0
39,0.05,0
40,0.05,0
41,0.05,0
42,0.05,0
43,0.05,0
44,0.05,0
45,0.05,0
46,0.05,0
47,0.05,0
48,0.05,0
49,0.05,0
50,0.05,0
51,0.05,0
52,0.05,0
53,0.05,0
54,0.05,0
55,0.05,0
56,0.05,0
57,0.05,0
58,0.05,0
59,0.05,0
60,0.05,0
61,0.05,0
62,0.05,0
63,0.05,0
64,0.05,0
65,0.05,0
66,0.05,0
67,0.05,0
68,0.05,0
69,0.05,0
70,0.05,-1.38778e-17
71,0.05,-1.38778e-17
72,0.05,-6.93889e-17
73,0.05,-5.55112e-17
74,0.05,-1.8735e-16
75,0.05,-7.63278e-17
76,0.05,-5.55112e-17
77,0.05,4.85723e-17
78,0.05,-5.55112e-17
79,0.05,-8.32667e-17
80,0.05,-1.45717e-16
81,0.05,1.11022e-16
82,0.05,1.11022e-16
83,0.05,3.33067e-16
84,0.05,1.04083e-16
85,0.05,1.11022e-16
86,0.05,-2.63678e-16
87,0.05,0
88,0.05,5.55112e-17
89,0.05,2.35922e-16
90,0.05,1.38778e-17
91,0.05,-4.85723e-17
92,0.05,-6.245e-17
93,0.0499999,1.38778e-16
94,0.0499999,-9.71445e-17
95,0.0499997,1.59595e-16
96,0.0499994,9.02057e-17
97,0.0499985,1.45717e-16
98,0.0499966,-2.84496e-16
99,0.0499929,-6.93897e-18
100,0.0499859,-1.38781e-16
101,0.0499725,1.04088e-16
102,0.049948,-2.70639e-16
103,0.0499057,6.24594e-17
104,0.0498355,-6.24665e-17
105,0.0497232,1.0413e-16
106,0.0495496,-6.24959e-17
107,0.049293,4.51551e-16
108,0.048929,1.66828e-16
109,0.0484332,1.32182e-16
110,0.0477836,-1.25363e-16
111,0.0469657,2.02254e-16
112,0.0459768,-8.38321e-17
113,0.0448282,-9.09962e-17
114,0.0435453,-3.85828e-16
115,0.042169,-3.48063e-16
116,0.0407549,-3.9472e-16
117,0.0393703,-1.27174e-16
118,0.0380911,-2.47822e-16
119,0.0369978,-1.98624e-16
120,0.0361718,-2.98348e-16
121,0.0356883,-2.16827e-16
122,0.0356044,-1.10199e-16
123,0.0359457,2.27354e-16
124,0.0366906,1.63182e-16
125,0.0377602,9.55898e-17
126,0.0390185,-6.00454e-17
127,0.0402938,1.12759e-16
128,0.0414182,5.97778e-17
129,0.0422737,1.19367e-16
130,0.042826,-2.10437e-17
131,0.0431295,1.12174e-16
132,0.0433013,3.50444e-18
133,0.0434718,8.40822e-17
134,0.0437361,9.80485e-17
135,0.0441256,9.79765e-17
136,0.0446103,-6.29271e-17
137,0.0451272,-2.79404e-17
138,0.0456184,-8.37454e-17
139,0.0460569,1.25519e-16
140,0.0464501,1.324e-16
141,0.0468219,2.08915e-17
142,0.0471864,-7.65515e-17
143,0.0475319,-6.95475e-18
144,0.0478265,-2.08526e-17
145,0.0480392,-2.08444e-16
146,0.0481646,-1.59771e-16
147,0.0482324,-2.08377e-16
148,0.0482954,-2.08358e-17
149,0.0484029,-1.0416e-16
150,0.0485751,1.94371e-16
151,0.0487952,1.73473e-16
152,0.0490219,2.98245e-16
153,0.0492154,1.24802e-16
154,0.049359,3.39655e-16
155,0.0494645,-7.62361e-17
156,0.0495595,-1.24731e-16
157,0.049667,-2.00918e-16
158,0.049791,1.59313e-16
159,0.0499161,2.77e-17
160,0.0500193,2.14634e-16
161,0.0500864,-2.00763e-16
162,0.0501191,-2.14599e-16
163,0.0501328,-3.11512e-16
